Date,high,low,open,close,volume,Adj Close
2019-02-04,27243.80078125,26825.55078125,26974.0,27186.599609375,0.0,27186.599609375
2019-02-05,27348.25,27153.19921875,27226.05078125,27271.69921875,0.0,27271.69921875
2019-02-06,27428.650390625,27294.099609375,27326.19921875,27402.349609375,0.0,27402.349609375
2019-02-07,27589.75,27322.94921875,27424.099609375,27387.150390625,0.0,27387.150390625
2019-02-08,27482.099609375,27221.25,27302.650390625,27294.400390625,0.0,27294.400390625
2019-02-11,27305.900390625,27151.55078125,27240.5,27227.80078125,0.0,27227.80078125
2019-02-12,27286.650390625,26988.900390625,27166.900390625,27010.75,0.0,27010.75
2019-02-14,27030.0,26818.05078125,26978.0,26970.599609375,0.0,26970.599609375
2019-02-15,27029.94921875,26635.25,27017.19921875,26794.25,0.0,26794.25
2019-02-18,26829.94921875,26617.69921875,26754.599609375,26654.25,0.0,26654.25
2019-02-19,26996.44921875,26625.599609375,26666.55078125,26684.849609375,0.0,26684.849609375
2019-02-20,26985.5,26732.650390625,26786.0,26955.5,0.0,26955.5
2019-02-21,27100.900390625,26973.0,26994.75,27052.400390625,0.0,27052.400390625
2019-02-22,26997.349609375,26847.80078125,26960.05078125,26867.55078125,0.0,26867.55078125
2019-02-25,27197.099609375,26932.650390625,26934.19921875,27159.25,0.0,27159.25
2019-02-26,27127.25,26736.599609375,26853.80078125,26952.94921875,0.0,26952.94921875
2019-02-27,27189.44921875,26719.400390625,27078.099609375,26799.30078125,0.0,26799.30078125
2019-02-28,26920.5,26762.55078125,26878.0,26789.900390625,0.0,26789.900390625
2019-03-01,27076.55078125,26928.900390625,26941.0,27043.900390625,0.0,27043.900390625
2019-03-05,27580.75,26958.099609375,27068.150390625,27554.05078125,0.0,27554.05078125
2019-03-06,27681.650390625,27492.05078125,27618.099609375,27625.650390625,0.0,27625.650390625
2019-03-07,27815.5,27560.0,27661.0,27764.599609375,0.0,27764.599609375
2019-03-08,27811.349609375,27645.400390625,27686.150390625,27761.80078125,0.0,27761.80078125
2019-03-11,28035.599609375,27791.25,27840.099609375,27966.650390625,0.0,27966.650390625
2019-03-12,28488.099609375,28142.25,28168.19921875,28443.69921875,0.0,28443.69921875
2019-03-13,28927.69921875,28353.650390625,28480.30078125,28884.30078125,0.0,28884.30078125
2019-03-14,29070.349609375,28819.75,29028.900390625,28923.099609375,0.0,28923.099609375
2019-03-15,29520.69921875,28990.849609375,29007.0,29381.44921875,0.0,29381.44921875
2019-03-18,29812.0,29361.650390625,29521.599609375,29596.099609375,0.0,29596.099609375
2019-03-19,29799.75,29547.69921875,29702.599609375,29767.849609375,0.0,29767.849609375
2019-03-20,29885.19921875,29633.5,29769.650390625,29832.19921875,0.0,29832.19921875
2019-03-22,30008.099609375,29508.69921875,29920.75,29582.5,0.0,29582.5
2019-03-25,29329.400390625,29156.25,29329.400390625,29281.19921875,0.0,29281.19921875
2019-03-26,29950.150390625,29278.5,29300.400390625,29882.150390625,0.0,29882.150390625
2019-03-27,30262.55078125,29790.25,30034.150390625,30019.80078125,0.0,30019.80078125
2019-03-28,30496.05078125,29969.099609375,30064.80078125,30420.55078125,0.0,30420.55078125
2019-04-01,30648.099609375,30218.349609375,30537.599609375,30326.5,0.0,30326.5
2019-04-02,30452.900390625,30155.849609375,30450.099609375,30354.25,0.0,30354.25
2019-04-03,30602.55078125,30036.25,30440.849609375,30093.30078125,0.0,30093.30078125
2019-04-04,30245.69921875,29809.900390625,30147.30078125,29904.900390625,0.0,29904.900390625
2019-04-05,30174.0,29850.0,30002.849609375,30084.650390625,0.0,30084.650390625
2019-04-08,30232.05078125,29716.599609375,30201.5,29845.30078125,0.0,29845.30078125
2019-04-09,30165.05078125,29703.55078125,29901.5,30113.849609375,0.0,30113.849609375
2019-04-10,30155.75,29768.099609375,29916.599609375,29803.5,0.0,29803.5
2019-04-11,29852.25,29640.25,29841.849609375,29786.099609375,0.0,29786.099609375
2019-04-12,30000.94921875,29707.0,29780.55078125,29938.55078125,0.0,29938.55078125
2019-04-15,30163.099609375,29919.099609375,29983.5,30104.25,0.0,30104.25
2019-04-16,30590.94921875,30228.19921875,30236.25,30531.349609375,0.0,30531.349609375
2019-04-18,30669.80078125,30142.19921875,30656.5,30223.400390625,0.0,30223.400390625
2019-04-22,30289.900390625,29647.55078125,30282.5,29687.94921875,0.0,29687.94921875
2019-04-23,29906.5,29455.44921875,29761.94921875,29479.69921875,0.0,29479.69921875
2019-04-24,29914.849609375,29435.05078125,29550.5,29860.80078125,0.0,29860.80078125
2019-04-25,30057.69921875,29511.94921875,29927.05078125,29561.349609375,0.0,29561.349609375
2019-04-26,30048.19921875,29563.150390625,29764.849609375,30013.5,0.0,30013.5
2019-04-30,29920.400390625,29550.05078125,29920.400390625,29764.80078125,0.0,29764.80078125
2019-05-02,29919.349609375,29638.80078125,29699.80078125,29708.599609375,0.0,29708.599609375
2019-05-03,30121.75,29795.099609375,29811.650390625,29954.150390625,0.0,29954.150390625
2019-05-06,29757.400390625,29528.599609375,29626.5,29618.44921875,0.0,29618.44921875
2019-05-07,29835.5,29244.25,29749.55078125,29288.19921875,0.0,29288.19921875
2019-05-08,29261.30078125,28951.349609375,29261.30078125,28994.400390625,0.0,28994.400390625
2019-05-09,29040.30078125,28784.650390625,28893.94921875,28884.599609375,0.0,28884.599609375
2019-05-10,29202.849609375,28900.099609375,28927.599609375,29040.5,0.0,29040.5
2019-05-13,29049.05078125,28621.099609375,29026.650390625,28659.94921875,0.0,28659.94921875
2019-05-14,29058.30078125,28582.599609375,28718.75,28829.19921875,0.0,28829.19921875
2019-05-15,28983.150390625,28555.150390625,28925.44921875,28616.44921875,0.0,28616.44921875
2019-05-16,28947.599609375,28525.44921875,28625.900390625,28855.30078125,0.0,28855.30078125
2019-05-17,29559.44921875,28856.0,28881.400390625,29450.150390625,0.0,29450.150390625
2019-05-20,30827.849609375,30111.19921875,30230.400390625,30759.69921875,0.0,30759.69921875
2019-05-21,30926.69921875,30265.099609375,30862.099609375,30308.400390625,0.0,30308.400390625
2019-05-22,30675.099609375,30268.599609375,30410.650390625,30526.80078125,0.0,30526.80078125
2019-05-23,31705.0,30292.349609375,30962.80078125,30409.099609375,0.0,30409.099609375
2019-05-24,31275.400390625,30564.400390625,30685.5,31212.55078125,0.0,31212.55078125
2019-05-27,31700.75,31142.5,31234.900390625,31647.650390625,232000.0,31647.650390625
2019-05-28,31712.400390625,31328.599609375,31711.30078125,31597.900390625,0.0,31597.900390625
2019-05-29,31546.75,31257.900390625,31459.25,31295.55078125,0.0,31295.55078125
2019-05-30,31619.25,31236.099609375,31256.849609375,31537.099609375,0.0,31537.099609375
2019-05-31,31783.599609375,30623.05078125,31678.900390625,31375.400390625,0.0,31375.400390625
2019-06-03,31674.599609375,31284.69921875,31406.05078125,31653.650390625,0.0,31653.650390625
2019-06-04,31752.69921875,31512.94921875,31532.900390625,31589.05078125,0.0,31589.05078125
2019-06-06,31541.5,30800.80078125,31523.94921875,30857.400390625,274600.0,30857.400390625
2019-06-07,31139.599609375,30627.05078125,30943.150390625,31066.55078125,0.0,31066.55078125
2019-06-10,31367.400390625,30861.30078125,31259.19921875,31034.0,0.0,31034.0
2019-06-11,31399.349609375,30973.349609375,31172.25,31265.44921875,0.0,31265.44921875
2019-06-12,31222.30078125,30911.44921875,31219.30078125,30965.69921875,0.0,30965.69921875
2019-06-13,31036.900390625,30638.25,30876.75,30976.099609375,0.0,30976.099609375
2019-06-14,31032.650390625,30508.94921875,30983.44921875,30614.349609375,0.0,30614.349609375
2019-06-17,30684.05078125,30249.400390625,30652.0,30273.25,0.0,30273.25
